epoch,dice_coefficient,loss,mean_io_u,val_dice_coefficient,val_loss,val_mean_io_u
0,0.359099417924881,0.6409010887145996,0.45532089471817017,0.39637160301208496,0.6036284565925598,0.45538562536239624
1,0.45251694321632385,0.5474827289581299,0.45431074500083923,0.4344908595085144,0.5655092597007751,0.45184585452079773
2,0.48558422923088074,0.5144158005714417,0.4495776891708374,0.4940512180328369,0.5059487819671631,0.44477590918540955
3,0.5018539428710938,0.49814608693122864,0.4428952634334564,0.5015604496002197,0.4984395205974579,0.4392692446708679
